"","ENSEMBL","SYMBOL","ENTREZID"
"633","FBgn0030329","prtp","32124"
"634","FBgn0266277","asRNA:CR44962","19836135"
"635","FBgn0030346","BORCS5","32145"
"636","FBgn0030351","CG1840","32150"
"637","FBgn0030356","lncRNA:CR32661","3772605"
"638","FBgn0052660","lncRNA:CR32660","3771836"
"639","FBgn0052657","lncRNA:CR32657","3772397"
"640","FBgn0040859","lncRNA:CR32658","3772624"
"641","FBgn0030391","Rab40","32195"
"642","FBgn0030394","Cpr11A","32198"
"643","FBgn0265761","lncRNA:CR44568","19836141"
"644","FBgn0030409","CG15728","32214"
"645","FBgn0030418","CG4004","32226"
"646","FBgn0030421","Agpat1","32230"
"647","FBgn0267185","lncRNA:CR45625","19834844"
"648","FBgn0267186","lncRNA:CR45626","19835326"
"649","FBgn0030441","CG2209","32250"
"650","FBgn0030449","Fer3HCH","32260"
"651","FBgn0010198","RpS15Aa","44150"
"652","FBgn0267273","lncRNA:CR45709","19835241"
"653","FBgn0030480","Tim9a","32294"
"654","FBgn0265831","lncRNA:CR44620","19834756"
"655","FBgn0030483","CG12725","32298"
"656","FBgn0265865","lncRNA:CR44654","19835930"
"657","FBgn0262108","lncRNA:CR42861","10178871"
"658","FBgn0011952","tRNA:Arg-TCG-2-1","3772515"
"659","FBgn0053236","Ste:CG33236","2768873"
"660","FBgn0053236","Ste:CG33244","2768896"
"661","FBgn0053236","Ste:CG33240","2768900"
"662","FBgn0053236","Ste:CG33245","2768906"
"663","FBgn0011953","tRNA:Arg-TCG-1-1","3772710"
"664","FBgn0030545","CG11590","32368"
"665","FBgn0260482","CG32599","318108"
"666","FBgn0030572","mRpS25","32395"
"667","FBgn0266094","lncRNA:CR44831","19835371"
"668","FBgn0000535","eag","32428"
"669","FBgn0265872","lncRNA:CR44661","19835098"
"670","FBgn0053178","CG33178","318913"
"671","FBgn0266275","asRNA:CR44960","19836212"
"672","FBgn0030610","Cox17","32439"
"673","FBgn0030611","CG15027","32440"
"674","FBgn0030630","CG12608","32463"
"675","FBgn0026433","Grip128","32478"
"676","FBgn0265453","lncRNA:CR44353","19835156"
"677","FBgn0267082","lncRNA:CR45526","19835254"
"678","FBgn0030673","CG15601","32509"
"679","FBgn0026666","MagR","32513"
"680","FBgn0027329","CCT6","32518"
"681","FBgn0030685","Graf","32522"
"682","FBgn0030686","mRpL3","32523"
"683","FBgn0025809","Paf-AHalpha","32529"
"684","FBgn0052581","sordd2","318098"
"685","FBgn0030694","CG15602","32533"
"686","FBgn0030697","CG8565","32538"
"687","FBgn0014391","sun","44046"
"688","FBgn0026076","UBL3","32541"
"689","FBgn0002914","Myb","32543"
"690","FBgn0065035","AlkB","2768870"
"691","FBgn0030703","MSBP","32548"
"692","FBgn0053180","Ranbp16","118436"
"693","FBgn0045073","Stim","32556"
"694","FBgn0030715","Or13a","32562"
"695","FBgn0030721","CG12698","32570"
"696","FBgn0030725","CG8958","32575"
"697","FBgn0052576","CG32576","318095"
"698","FBgn0278608","Dsp1","117294"
"699","FBgn0054015","CG34015","3885570"
"700","FBgn0030757","CG9902","32622"
"701","FBgn0266352","asRNA:CR45001","19834819"
"702","FBgn0030768","Nemp","32639"
"703","FBgn0030769","CG13012","32642"
"704","FBgn0052572","CG32572","32657"
"705","FBgn0052569","TwdlZ","318092"
"706","FBgn0001250","if","32661"
"707","FBgn0030791","CG9132","2768881"
"708","FBgn0030796","CG4829","32672"
"709","FBgn0030801","Polr3I","32678"
"710","FBgn0030802","DENR","32679"
"711","FBgn0030808","RhoGAP15B","32686"
"712","FBgn0030813","CG4949","32691"
"713","FBgn0065032","Arpc3B","32696"
"714","FBgn0083001","snoRNA:Psi28S-1192a","5740419"
"715","FBgn0086671","snoRNA:Psi28S-2876","3772235"
"716","FBgn0260747","Chchd2","32701"
"717","FBgn0265903","lncRNA:CR44692","19835168"
"718","FBgn0030851","CG8326","32738"
"719","FBgn0267967","corolla","32739"
"720","FBgn0030880","CG6788","32773"
"721","FBgn0030883","CG7772","32776"
"722","FBgn0021765","scu","32789"
"723","FBgn0267166","lncRNA:CR45606","19835346"
"724","FBgn0262263","mir-969","12798149"
"725","FBgn0262433","mir-210","12798150"
"726","FBgn0262607","CG43133","12798151"
"727","FBgn0262874","CG43229","12798152"
"728","FBgn0267168","lncRNA:CR45608","19835796"
"729","FBgn0263769","lncRNA:CR43686","14462409"
"730","FBgn0030933","CG6470","32840"
"731","FBgn0030969","Usp39","32881"
"732","FBgn0263571","mir-4959","12798163"
"733","FBgn0031021","ND-18","32936"
"734","FBgn0040890","ksh","50363"
"735","FBgn0086782","amn","32999"
"736","FBgn0261624","I-3","33068"
"737","FBgn0025814","Mgstl","44110"
"738","FBgn0086049","snoRNA:Me28S-U3344a","5740538"
"739","FBgn0031170","Abca3","33103"
"740","FBgn0052525","tRNA:Tyr-GTA-2-1","3771861"
"741","FBgn0267063","lncRNA:CR45507","19835126"
"742","FBgn0031190","CG12576","33135"
"743","FBgn0027279","l(1)G0196","33137"
