,ENSEMBL,SYMBOL,ENTREZID
157,FBgn0260223,CG42497,8674071
158,FBgn0265979,lncRNA:CR44758,19834984
159,FBgn0085475,CG34446,5740549
160,FBgn0265983,lncRNA:CR44762,19836051
161,FBgn0034769,Obp58c,37608
162,FBgn0050275,CG30275,246522
163,FBgn0034814,CG9890,37659
164,FBgn0045483,Gr59a,117485
165,FBgn0265053,asRNA:CR44168,14462626
166,FBgn0040660,CG13551,50133
167,FBgn0260762,CG42560,8674067
168,FBgn0067903,IM18,3772138
169,FBgn0260455,CG10332,37735
170,FBgn0023170,RpL39,37849
171,FBgn0034973,CG13564,37855
172,FBgn0266073,lncRNA:CR44826,19835081
173,FBgn0260775,DnaJ-60,37869
174,FBgn0259937,Nop60B,37873
175,FBgn0050161,CG30161,37945
176,FBgn0040666,CG12848,50139
177,FBgn0050428,CG30428,246608
178,FBgn0002564,Lsp1gamma,38015
179,FBgn0265704,lncRNA:CR44511,19836081
180,FBgn0025592,Gk1,43913
181,FBgn0085292,CG34263,5740488
182,FBgn0262451,mir-ban,12798547
183,FBgn0035149,MED30,38078
184,FBgn0035154,hiro,38083
185,FBgn0082973,snoRNA:Psi28S-3308,5740678
186,FBgn0260755,CG42553,38094
187,FBgn0035235,CG7879,38184
188,FBgn0035247,Mettl2,38197
189,FBgn0035249,CG17249,38201
190,FBgn0082944,snoRNA:Me28S-A2634c,5740639
191,FBgn0027903,PolD2,38228
192,FBgn0267478,asRNA:CR45828,26067156
193,FBgn0035335,mRpL23,38302
194,FBgn0052298,CG32298,317963
195,FBgn0052289,tRNA:Cys-GCA-1-2,3772561
196,FBgn0052287,tRNA:Cys-GCA-1-3,3772212
197,FBgn0035414,CG14965,38388
198,FBgn0047135,CG32276,251645
199,FBgn0035422,RpL28,38397
200,FBgn0052274,Drsl1,326207
201,FBgn0262260,mir-2282,12798578
202,FBgn0262484,CG43074,12798579
203,FBgn0003943,Ubi-p63E,38456
204,FBgn0035486,Gr64d,3772638
205,FBgn0028664,VhaM9.7-c,38503
206,FBgn0261952,srw,38525
207,FBgn0052240,CG32240,317933
208,FBgn0053777,CG33777,3772311
209,FBgn0040842,CG15212,50315
210,FBgn0035592,CG10674,38602
211,FBgn0265708,lncRNA:CR44515,19835049
212,FBgn0265711,lncRNA:CR44518,19834851
213,FBgn0047334,BG642312,4379909
214,FBgn0047205,lncRNA:CR32385,3772463
215,FBgn0028648,mRpL50,38796
216,FBgn0035754,MED4,38799
217,FBgn0035766,eco,38812
218,FBgn0015298,Srp19,38815
219,FBgn0052368,lncRNA:CR32368,317997
220,FBgn0052361,tRNA:Leu-CAG-1-5,3771969
221,FBgn0035896,CG6983,38964
222,FBgn0052039,Svip,317834
223,FBgn0001229,Hsp67Bc,39071
224,FBgn0035982,CG4461,39074
225,FBgn0035998,CG3437,39096
226,FBgn0044051,Ilp1,39149
227,FBgn0286833,CG46387,39877388
228,FBgn0085267,CG34238,5740238
229,FBgn0047038,ND-13B,39214
230,FBgn0036107,galla-2,39221
231,FBgn0083068,CG33947,26067039
232,FBgn0052072,Elo68alpha,317841
233,FBgn0052073,CG32073,326191
234,FBgn0265929,lncRNA:CR44718,19835872
235,FBgn0267232,lncRNA:CR45672,19835234
236,FBgn0036193,CG14135,39316
237,FBgn0053265,Muc68E,2768990
238,FBgn0085271,CG34242,5740417
239,FBgn0052109,CG32109,39444
240,FBgn0036336,ste14,39478
241,FBgn0040812,CG8750,50285
242,FBgn0036467,CG12310,39634
243,FBgn0053986,CG33986,3885638
244,FBgn0036532,CG13445,39719
245,FBgn0266724,Trs20,39769
246,FBgn0260388,CG42514,8674108
247,FBgn0267555,asRNA:CR45895,26067223
248,FBgn0025558,CG4101,39857
249,FBgn0011293,a10,39906
250,FBgn0262895,lncRNA:CR43250,19835793
251,FBgn0265760,lncRNA:CR44567,19835426
252,FBgn0036770,Prestin,39996
253,FBgn0259739,CG42393,7354474
254,FBgn0266937,lncRNA:CR45388,19835942
255,FBgn0085285,CG34256,5740297
256,FBgn0265886,lncRNA:CR44675,19836077
257,FBgn0036857,Aldh7A1,40097
258,FBgn0028380,fal,43927
259,FBgn0062928,hpRNA:CR33940,3771790
260,FBgn0020277,lush,40136
261,FBgn0014037,Su(Tpl),40171
262,FBgn0005633,fln,40185
263,FBgn0036948,CG7298,40210
264,FBgn0036970,Spn77Bc,40236
265,FBgn0261832,CG42764,10178963
266,FBgn0016696,Pitslre,40292
267,FBgn0037021,Pcif1,40295
268,FBgn0037065,CG12974,40350
269,FBgn0267617,asRNA:CR45955,26067282
270,FBgn0037166,CG11426,40471
271,FBgn0053770,CG33770,3772256
272,FBgn0037191,CG14448,40497
273,FBgn0037202,Ssl1,40509
274,FBgn0264492,CkIIalpha,48448
275,FBgn0053217,CG33217,2768951
276,FBgn0037261,CG9775,40576
277,FBgn0037317,CG14667,40643
278,FBgn0037328,RpL35A,40654
279,FBgn0028436,ECSIT,40732
280,FBgn0266235,lncRNA:CR44930,19834915
281,FBgn0263383,lncRNA:CR43435,12798042
282,FBgn0267568,asRNA:CR45908,26067236
283,FBgn0037477,CG14610,40856
284,FBgn0037491,CG1227,40872
285,FBgn0262362,CG43060,12798056
286,FBgn0012026,tRNA:Tyr-GTA-1-6,3772062
287,FBgn0012024,tRNA:Tyr-GTA-1-8,3772335
288,FBgn0053189,CG33189,326328
289,FBgn0040532,CG8369,50005
290,FBgn0264790,asRNA:CR44020,14462444
291,FBgn0260237,BBIP1,8674100
292,FBgn0014022,Rlb1,41139
293,FBgn0037737,Pnn,41185
294,FBgn0051410,Npc2e,326136
295,FBgn0037809,CG12818,41261
296,FBgn0262223,mir-994,12797880
297,FBgn0037815,Rrp46,41270
298,FBgn0037824,CG14684,41281
299,FBgn0086055,snoRNA:Me18S-C1096,5740862
300,FBgn0037902,CG5281,41375
301,FBgn0260743,GC1,41448
302,FBgn0013277,Hsp70Ba,44921
303,FBgn0013278,Hsp70Ba,44921
304,FBgn0013278,Hsp70Bb,48582
305,FBgn0013278,Hsp70Bc,48583
306,FBgn0087021,Spc25,41585
307,FBgn0038114,CG11670,41608
308,FBgn0044511,mRpS21,318249
309,FBgn0038196,CG9922,41708
310,FBgn0260226,CG42500,50032
311,FBgn0038304,CG12241,41834
312,FBgn0038307,mRpS10,41838
313,FBgn0013269,Fkbp39,41860
314,FBgn0266748,lncRNA:CR45221,19834905
315,FBgn0038470,CG18213,42055
316,FBgn0085307,CG34278,5740656
317,FBgn0264291,Det,42077
318,FBgn0053333,CG33333,2768672
319,FBgn0266388,asRNA:CR45028,19835369
320,FBgn0038641,ChT,42245
321,FBgn0038675,CG6013,42286
322,FBgn0040575,CG15922,50048
323,FBgn0038830,CG17272,42465
324,FBgn0051223,CG31223,326127
325,FBgn0051334,tRNA:Thr-CGT-1-2,3771835
326,FBgn0043012,AP-2sigma,42525
327,FBgn0051174,CG31174,318616
328,FBgn0024558,Dph5,42663
329,FBgn0039017,CG6985,42694
330,FBgn0039041,CG13838,42719
331,FBgn0004187,snRNA:U1:95Cc,3772462
332,FBgn0264740,CG43998,19836181
333,FBgn0039129,RpS19b,42830
334,FBgn0039135,CG13603,42838
335,FBgn0043455,CG5986,192506
336,FBgn0267339,p38c,2768679
337,FBgn0039159,mRpS24,42870
338,FBgn0267763,lncRNA:CR46094,26067411
339,FBgn0039259,EMC6,42992
340,FBgn0039271,CG11839,43006
341,FBgn0039374,CG17770,43118
342,FBgn0267217,lncRNA:CR45657,19835495
343,FBgn0266400,lncRNA:CR45040,19834808
344,FBgn0040608,CG14246,3772140
345,FBgn0262379,mir-1012,12798273
346,FBgn0051070,tRNA:Gln-TTG-1-3,3772589
347,FBgn0041224,Gr97a,117338
348,FBgn0284229,CG46313,30522402
349,FBgn0039501,TTLL6B,43282
350,FBgn0039503,CG14262,43286
351,FBgn0039686,CG15506,43498
352,FBgn0039687,Naa40,43500
353,FBgn0042213,CG18731,59246
354,FBgn0039713,RpS8,43532
355,FBgn0260760,CG42558,8674024
356,FBgn0039742,CG15528,43575
357,FBgn0085346,Rpp14a,5740224
358,FBgn0051383,tRNA:Leu-TAG-1-1,3772121
359,FBgn0039764,CG15535,43608
360,FBgn0025740,PlexB,43766
361,FBgn0265633,lncRNA:CR44440,19835163
362,FBgn0052006,CG32006,317817
363,FBgn0264793,lncRNA:CR44023,14462353
364,FBgn0039900,Syt7,43783
365,FBgn0052850,Rnf11,318246
366,FBgn0259214,PMCA,43787
367,FBgn0263385,lncRNA:CR43437,12798283
368,FBgn0016126,CaMKI,43792
369,FBgn0039911,CG1909,43800
370,FBgn0025936,Eph,43803
371,FBgn0039916,Ekar,43806
372,FBgn0023213,eIF4G1,43839
373,FBgn0052017,CG32017,317823
374,FBgn0002521,pho,43819
375,FBgn0263112,Mitf,3885647
376,FBgn0025836,RhoGAP1A,5740235
377,FBgn0025835,CG17707,5740408
378,FBgn0000316,cin,30973
379,FBgn0262811,CG43182,12798293
380,FBgn0265966,lncRNA:CR44753,19835875
381,FBgn0026879,CG13364,50364
382,FBgn0020381,Dredd,31011
383,FBgn0266281,lncRNA:CR44966,19834749
384,FBgn0040343,CG3713,50365
385,FBgn0029552,CG14631,31049
386,FBgn0040351,CG11638,31050
387,FBgn0053082,Rpp21,318857
388,FBgn0052811,CG32811,318222
389,FBgn0013720,pck,31101
390,FBgn0029589,CG14810,31131
391,FBgn0265531,asRNA:CR44381,19835579
392,FBgn0040899,CG17776,50373
393,FBgn0027296,temp,31212
394,FBgn0003374,Sgs4,31304
395,FBgn0029656,CG10793,31308
396,FBgn0052493,tRNA:Gln-TTG-2-1,3772230
397,FBgn0029657,CG12535,31311
398,FBgn0029660,CG10801,31314
399,FBgn0029672,CG2875,31326
400,FBgn0266429,AstA-R1,44126
401,FBgn0052785,tRNA:Gln-CTG-2-1,3772526
402,FBgn0029689,CG6428,31351
403,FBgn0040906,CG15579,50380
404,FBgn0002707,mei-9,31373
405,FBgn0029714,CG3527,31387
406,FBgn0029715,CG11444,31388
407,FBgn0025388,Alms1a,31393
408,FBgn0029730,boil,31416
409,FBgn0267442,lncRNA:CR45792,26067123
410,FBgn0029746,CG15465,31434
411,FBgn0003449,snf,31442
412,FBgn0029752,TrxT,31443
413,FBgn0267073,lncRNA:CR45517,19834818
414,FBgn0029771,CG12730,31466
415,FBgn0267076,asRNA:CR45520,19835322
416,FBgn0046687,Tre1,140439
417,FBgn0261927,lncRNA:CR42794,19836078
418,FBgn0029840,raptor,31543
419,FBgn0264386,Ca-alpha1T,31550
420,FBgn0028685,Rpt4,31567
421,FBgn0029868,ND-B16.6,31578
422,FBgn0053666,CG33666,3771730
423,FBgn0027106,Inx7,33027
424,FBgn0267088,lncRNA:CR45532,19835991
425,FBgn0261848,CG42780,10178796
426,FBgn0029946,CG15034,31670
427,FBgn0029948,CheA7a,31672
428,FBgn0262828,lncRNA:CR43199,19835479
429,FBgn0265693,lncRNA:CR44500,19835808
430,FBgn0267090,lncRNA:CR45534,19834839
431,FBgn0265695,lncRNA:CR44502,19835982
432,FBgn0029952,CG12689,31676
433,FBgn0267226,lncRNA:CR45666,19835578
434,FBgn0029971,ND-MNLL,31697
435,FBgn0082924,snoRNA:Or-aca2,5740435
436,FBgn0263778,lncRNA:CR43695,26067106
437,FBgn0003023,otu,31789
438,FBgn0030048,CG12112,31794
439,FBgn0030057,Ppt1,31805
440,FBgn0265701,lncRNA:CR44508,19835956
441,FBgn0030067,Rbm13,31818
442,FBgn0052707,APC4,31835
443,FBgn0052706,CG32706,318160
444,FBgn0004856,Bx42,31840
445,FBgn0265725,CG44532,19835861
446,FBgn0010269,Dsor1,31872
447,FBgn0054026,CG34026,3885569
448,FBgn0030137,CG15317,31898
449,FBgn0267102,lncRNA:CR45542,19835448
450,FBgn0027084,LysRS,31904
451,FBgn0264786,lncRNA:CR44016,14462391
452,FBgn0263509,lncRNA:CR43498,12797960
453,FBgn0030157,CG1468,31920
454,FBgn0030158,CG9686,31921
455,FBgn0263216,CG43386,31929
456,FBgn0028342,ATPsyndelta,31950
457,FBgn0263997,CG43740,31962
458,FBgn0086046,snoRNA:Me28S-A1705,5740725
459,FBgn0052683,CG32683,31970
460,FBgn0030204,Or9a,31975
461,FBgn0267184,lncRNA:CR45624,19835735
462,FBgn0030239,Pgls,32013
463,FBgn0030272,CG15201,32053
464,FBgn0030278,CG15200,32060
465,FBgn0265986,lncRNA:CR44765,19835111
466,FBgn0001491,l(1)10Bb,32069
467,FBgn0030296,CG15196,32084
468,FBgn0262335,mir-2492,12797961
469,FBgn0030329,prtp,32124
470,FBgn0266277,asRNA:CR44962,19836135
471,FBgn0030351,CG1840,32150
472,FBgn0052660,lncRNA:CR32660,3771836
473,FBgn0052657,lncRNA:CR32657,3772397
474,FBgn0030391,Rab40,32195
475,FBgn0265761,lncRNA:CR44568,19836141
476,FBgn0030418,CG4004,32226
477,FBgn0030421,Agpat1,32230
478,FBgn0030429,CG4661,32238
479,FBgn0267185,lncRNA:CR45625,19834844
480,FBgn0267186,lncRNA:CR45626,19835326
481,FBgn0052644,Mur11Da,318139
482,FBgn0030441,CG2209,32250
483,FBgn0030443,CG12715,32252
484,FBgn0262222,mir-971,12797975
485,FBgn0052639,CG32639,318134
486,FBgn0010198,RpS15Aa,44150
487,FBgn0267273,lncRNA:CR45709,19835241
488,FBgn0265831,lncRNA:CR44620,19834756
489,FBgn0030495,CG11816,32310
490,FBgn0265865,lncRNA:CR44654,19835930
491,FBgn0020909,Rtc1,32338
492,FBgn0011952,tRNA:Arg-TCG-2-1,3772515
493,FBgn0011982,tRNA:Ser-AGA-2-1,3772164
494,FBgn0053236,Ste:CG33236,2768873
495,FBgn0053236,Ste:CG33244,2768896
496,FBgn0053236,Ste:CG33240,2768900
497,FBgn0053236,Ste:CG33245,2768906
498,FBgn0011953,tRNA:Arg-TCG-1-1,3772710
499,FBgn0030545,CG11590,32368
500,FBgn0000535,eag,32428
501,FBgn0052594,be,32430
502,FBgn0265872,lncRNA:CR44661,19835098
503,FBgn0266275,asRNA:CR44960,19836212
504,FBgn0030610,Cox17,32439
505,FBgn0265875,lncRNA:CR44664,19835099
506,FBgn0030625,CG5877,32455
507,FBgn0265611,asRNA:CR44429,19834866
508,FBgn0265453,lncRNA:CR44353,19835156
509,FBgn0030665,CG15646,32501
510,FBgn0267079,lncRNA:CR45523,19835687
511,FBgn0027329,CCT6,32518
512,FBgn0030685,Graf,32522
513,FBgn0030686,mRpL3,32523
514,FBgn0052581,sordd2,318098
515,FBgn0030695,PGRP-LE,32534
516,FBgn0030699,CG8578,32540
517,FBgn0014391,sun,44046
518,FBgn0065035,AlkB,2768870
519,FBgn0030703,MSBP,32548
520,FBgn0045073,Stim,32556
521,FBgn0030719,eIF5,32566
522,FBgn0030721,CG12698,32570
523,FBgn0052580,Muc14A,318097
524,FBgn0030724,Nipsnap,32573
525,FBgn0263516,mir-4958,12797987
526,FBgn0259699,CG42353,32576
527,FBgn0052576,CG32576,318095
528,FBgn0278608,Dsp1,117294
529,FBgn0004227,nonA,32603
530,FBgn0054015,CG34015,3885570
531,FBgn0030769,CG13012,32642
532,FBgn0000152,Axs,32645
533,FBgn0030791,CG9132,2768881
534,FBgn0264862,asRNA:CR44053,14462402
535,FBgn0030796,CG4829,32672
536,FBgn0030802,DENR,32679
537,FBgn0264739,CG43997,14462405
538,FBgn0030816,CG16700,32694
539,FBgn0065032,Arpc3B,32696
540,FBgn0083001,snoRNA:Psi28S-1192a,5740419
541,FBgn0086671,snoRNA:Psi28S-2876,3772235
542,FBgn0083012,snoRNA:Psi28S-1135a,5740519
543,FBgn0040877,CG12994,50350
544,FBgn0265903,lncRNA:CR44692,19835168
545,FBgn0030846,CG12992,32733
546,FBgn0267967,corolla,32739
547,FBgn0052557,Mco4,326221
548,FBgn0030881,CG12985,32774
549,FBgn0030883,CG7772,32776
550,FBgn0021765,scu,32789
551,FBgn0262263,mir-969,12798149
552,FBgn0262433,mir-210,12798150
553,FBgn0262607,CG43133,12798151
554,FBgn0262874,CG43229,12798152
